=== PROJECT PRICING DEBUG ===
Project,"Example Project"
Status,"STAGING"

=== PRICING MODE ===
Name,"Hybrid"
Extrusion Markup,300%
Hardware Markup,100%
Glass Markup,100%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 639) ---
Dimensions,"45" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Hardware",4,$0.11,$0.44,"direct_bom_cost","Direct cost from ProductBOM: $0.11 × 4"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware",3,$0.14,$0.41,"direct_bom_cost","Direct cost from ProductBOM: $0.137 × 3"
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Hardware",3,$0.03,$0.10,"direct_bom_cost","Direct cost from ProductBOM: $0.0325 × 3"
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Hardware",8,$0.01,$0.08,"direct_bom_cost","Direct cost from ProductBOM: $0.0101 × 8"
"HW-SCR-FAS9097","#6 x 3/8 Flat Head Phillips Screw","Hardware",2,$0.03,$0.06,"direct_bom_cost","Direct cost from ProductBOM: $0.0314 × 2"
"E-12382H","Lock Stile","Extrusion",1,$48.63,$48.63,"extrusion_hybrid_split","Hybrid (≥50% used): 81.8% used ($39.79 at markup) + 18.2% remaining ($8.84 at cost)"
"SL-502-PLASI-LCKSTRIKE","Plastic Lock Strike","Hardware",1,$0.50,$0.50,"direct_bom_cost","Direct cost from ProductBOM: $0.5 × 1"
"E-12311","Roller Track","Extrusion",1,$16.58,$16.58,"extrusion_hybrid_split","Hybrid (≥50% used): 96.5% used ($15.99 at markup) + 3.5% remaining ($0.59 at cost)"
"HW-LCK-MORLS08-FP","Sliding Door Lock Face Plate","Hardware",1,$0.80,$0.80,"direct_bom_cost","Direct cost from ProductBOM: $0.8 × 1"
"cardboard-box-door","Cardboard Box","Packaging",1,$10.00,$10.00,"direct_bom_cost","Direct cost from ProductBOM: $10 × 1"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.67,"master_part_hardware_lf","Hardware (LF): Formula ""(height - 10.375) / 12"" = 6.135416666666667"" = 0.51 LF × $0.33/LF × 4"
"FOAM ROLL","Foam Gasket","Hardware",4,$0.33,$0.36,"master_part_hardware_lf","Hardware (LF): Formula ""(width - 6.125) / 12"" = 3.2395833333333335"" = 0.27 LF × $0.33/LF × 4"

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear","width - 6.625","height - 9.875",38.375,74.125,1,19.75,$4.00,$79.02

Component BOM Total,$307.68
Component Options Total,$0.00
Component Glass Total,$79.02

--- Component: ThinWall - Fixed Panel (Panel 643) ---
Dimensions,"37" W x 84" H"

BOM ITEMS
